Ranking,Songs,Artist,Url,Release_year
1,Blicky,Fresh X Reckless,https://ads.tiktok.com/business/creativecenter/song/Blicky-7189151224833247234?countryCode=US&period=120,2023
2,Love You So,The King Khan & BBQ Show,https://ads.tiktok.com/business/creativecenter/song/Love-You-So-6728562975734515713?countryCode=US&period=120,2005
3,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,https://ads.tiktok.com/business/creativecenter/song/Boy-s-a-Liar-Pt-2-7197025723688454146?countryCode=US&period=120,2023
4,Aesthetic,Tollan Kim,https://ads.tiktok.com/business/creativecenter/song/Aesthetic-7072513628145977346?countryCode=US&period=120,2022
5,Big Boy Speed Up,Dj Kampung,https://ads.tiktok.com/business/creativecenter/song/Big-Boy-Speed-Up-7193959214111442946?countryCode=US&period=120,2022
6,Her Way (Sped Up),PARTYNEXTDOOR,https://ads.tiktok.com/business/creativecenter/song/Her-Way-Sped-Up-7123654694953585454?countryCode=US&period=120,2014
7,Beat Automotivo Tan Tan Tan Viral,WZ Beat,https://ads.tiktok.com/business/creativecenter/song/Beat-Automotivo-Tan-Tan-Tan-Viral-7098939394085702406?countryCode=US&period=120,2022
8,Collide (more sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-more-sped-up-7179005122687551489?countryCode=US&period=120,2014
9,Rodeo (Remix),Lah Pat & Flo Milli,https://ads.tiktok.com/business/creativecenter/song/Rodeo-Remix-7202537296637790209?countryCode=US&period=120,2023
10,Cupid - Twin Ver. (FIFTY FIFTY) - Sped Up Version,regex & bexter & Vraox,https://ads.tiktok.com/business/creativecenter/song/Cupid-Twin-Ver-FIFTY-FIFTY-Sped-Up-Version-7217542291274090498?countryCode=US&period=120,2023
11,Collide (more sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-more-sped-up-7171820650175269637?countryCode=US&period=120,2014
12,It's A Wrap - Sped Up,Mariah Carey,https://ads.tiktok.com/business/creativecenter/song/It-s-A-Wrap-Sped-Up-7109548851984190213?countryCode=US&period=120,2009
13,It’s Called: Freefall (Sped Up),Rainbow Kitten Surprise,https://ads.tiktok.com/business/creativecenter/song/It%E2%80%99s-Called-Freefall-Sped-Up-7193769810337139462?countryCode=US&period=120,2018
14,die (sped up),lucidbeatz & key kelly,https://ads.tiktok.com/business/creativecenter/song/die-sped-up-7205023455492704257?countryCode=US&period=120,2023
15,Peaches & Eggplants (feat. 21 Savage),Young Nudy,https://ads.tiktok.com/business/creativecenter/song/Peaches-Eggplants-feat-21-Savage-7224242115042102058?countryCode=US&period=120,2023
16,I Think I Like When It Rains,WILLIS,https://ads.tiktok.com/business/creativecenter/song/I-Think-I-Like-When-It-Rains-6895811481653266433?countryCode=US&period=120,2017
17,Collide (sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-sped-up-7149845524978338561?countryCode=US&period=120,2014
18,Ella Baila Sola,Eslabon Armado & Peso Pluma,https://ads.tiktok.com/business/creativecenter/song/Ella-Baila-Sola-7210961270449637377?countryCode=US&period=120,2023
19,Cool Kids (our sped up version),Echosmith,https://ads.tiktok.com/business/creativecenter/song/Cool-Kids-our-sped-up-version-7136115827699124226?countryCode=US&period=120,2013
20,Maria Maria (feat. The Product G&B) (sped up),Santana & sped up + slowed,https://ads.tiktok.com/business/creativecenter/song/Maria-Maria-feat-The-Product-G-B-sped-up-7136352262087117569?countryCode=US&period=120,2010
21,Sunshine,WIRA,https://ads.tiktok.com/business/creativecenter/song/Sunshine-7087902657213384705?countryCode=US&period=120,2022
22,Trap Money so Big (Remix),Iqbal12,https://ads.tiktok.com/business/creativecenter/song/Trap-Money-so-Big-Remix-7176546707423889410?countryCode=US&period=120,2023
23,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,https://ads.tiktok.com/business/creativecenter/song/Monkeys-Spinning-Monkeys-6746993352891189249?countryCode=US&period=120,2015
24,Cupid - Twin Ver. (FIFTY FIFTY) - Sped Up Version,regex & bexter & Vraox,https://ads.tiktok.com/business/creativecenter/song/Cupid-Twin-Ver-FIFTY-FIFTY-Sped-Up-Version-7204194389054147334?countryCode=US&period=120,2023
25,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,https://ads.tiktok.com/business/creativecenter/song/Boy-s-a-Liar-Pt-2-7189713675660314626?countryCode=US&period=120,2023
26,Daylight,David Kushner,https://ads.tiktok.com/business/creativecenter/song/Daylight-7191094822155963179?countryCode=US&period=120,2023
27,Bad Hair Day (Sped Up),John Phillips,https://ads.tiktok.com/business/creativecenter/song/Bad-Hair-Day-Sped-Up-7167961066704505602?countryCode=US&period=120,2023
28,Sunroof,Nicky Youre & dazy,https://ads.tiktok.com/business/creativecenter/song/Sunroof-7030869625311086594?countryCode=US&period=120,2021
29,I WANNA RIDE (Sped Up),Joseline Hernandez,https://ads.tiktok.com/business/creativecenter/song/I-WANNA-RIDE-Sped-Up-7076278610289543978?countryCode=US&period=120,2022
